,idscrap,time_saved,minutes,theorique
0,1,2018-12-04 15:00:45.342755,14,False
1,1,2018-12-04 15:00:45.342755,26,True
2,1,2018-12-04 15:00:45.342755,41,True
3,1,2018-12-04 15:00:45.342755,56,True
4,2,2018-12-04 15:01:11.890525,13,False
5,2,2018-12-04 15:01:11.906151,25,True
6,2,2018-12-04 15:01:11.906151,40,True
7,2,2018-12-04 15:01:11.906151,55,True
8,3,2018-12-04 15:01:38.311502,13,False
9,3,2018-12-04 15:01:38.327118,25,True
10,3,2018-12-04 15:01:38.327118,40,True
11,3,2018-12-04 15:01:38.327118,55,True
12,4,2018-12-04 15:02:05.415270,10,False
13,4,2018-12-04 15:02:05.415270,24,True
14,4,2018-12-04 15:02:05.430896,39,True
15,4,2018-12-04 15:02:05.430896,54,True
16,5,2018-12-04 15:02:34.109885,10,False
17,5,2018-12-04 15:02:34.109885,35,False
18,5,2018-12-04 15:02:34.109885,39,True
19,5,2018-12-04 15:02:34.109885,54,True
20,6,2018-12-04 15:03:01.046808,10,False
21,6,2018-12-04 15:03:01.046808,34,False
22,6,2018-12-04 15:03:01.046808,38,True
23,6,2018-12-04 15:03:01.046808,53,True
24,7,2018-12-04 15:03:28.157133,9,False
25,7,2018-12-04 15:03:28.157133,34,False
26,7,2018-12-04 15:03:28.157133,38,True
27,7,2018-12-04 15:03:28.157133,53,True
28,8,2018-12-04 15:03:55.962948,9,False
29,8,2018-12-04 15:03:55.978575,34,False
30,8,2018-12-04 15:03:55.978575,38,True
31,8,2018-12-04 15:03:55.978575,53,True
32,9,2018-12-04 15:04:23.496303,8,False
33,9,2018-12-04 15:04:23.511981,33,False
34,9,2018-12-04 15:04:23.511981,37,True
35,9,2018-12-04 15:04:23.511981,52,True
36,10,2018-12-04 15:04:58.067740,8,False
37,10,2018-12-04 15:04:58.067740,33,False
38,10,2018-12-04 15:04:58.067740,37,True
39,10,2018-12-04 15:04:58.067740,52,True
40,11,2018-12-04 15:05:24.711858,7,False
41,11,2018-12-04 15:05:24.711858,32,False
42,11,2018-12-04 15:05:24.711858,36,True
43,11,2018-12-04 15:05:24.727490,51,True
44,12,2018-12-04 15:05:51.251215,7,False
45,12,2018-12-04 15:05:51.266863,32,False
46,12,2018-12-04 15:05:51.266863,36,True
47,12,2018-12-04 15:05:51.266863,51,True
48,13,2018-12-04 15:06:18.057726,6,False
49,13,2018-12-04 15:06:18.073356,31,False
50,13,2018-12-04 15:06:18.073356,35,True
51,13,2018-12-04 15:06:18.073356,50,True
52,14,2018-12-04 15:06:44.527942,6,False
53,14,2018-12-04 15:06:44.535967,31,False
54,14,2018-12-04 15:06:44.541973,35,True
55,14,2018-12-04 15:06:44.545944,50,True
56,15,2018-12-04 15:07:10.950054,5,False
57,15,2018-12-04 15:07:10.965717,30,False
58,15,2018-12-04 15:07:10.965717,34,True
59,15,2018-12-04 15:07:10.965717,49,True
60,16,2018-12-04 15:40:47.672570,5,False
61,16,2018-12-04 15:40:47.672570,24,False
62,16,2018-12-04 15:40:47.672570,30,True
63,16,2018-12-04 15:40:47.672570,45,True
64,17,2018-12-04 15:41:14.218646,4,False
65,17,2018-12-04 15:41:14.234227,23,False
66,17,2018-12-04 15:41:14.234227,29,True
67,17,2018-12-04 15:41:14.234227,44,True
68,18,2018-12-04 15:41:41.060753,4,False
69,18,2018-12-04 15:41:41.061254,23,False
70,18,2018-12-04 15:41:41.061254,29,True
71,18,2018-12-04 15:41:41.061254,44,True
72,19,2018-12-04 15:42:07.792120,3,False
73,19,2018-12-04 15:42:07.807741,19,False
74,19,2018-12-04 15:42:07.807741,28,True
75,19,2018-12-04 15:42:07.807741,43,True
76,19,2018-12-04 15:42:07.823366,59,True
77,20,2018-12-04 15:42:34.706087,3,False
78,20,2018-12-04 15:42:34.706087,19,False
79,20,2018-12-04 15:42:34.706087,28,True
80,20,2018-12-04 15:42:34.706087,43,True
81,20,2018-12-04 15:42:34.721450,59,True
82,21,2018-12-04 15:43:01.254675,0,False
83,21,2018-12-04 15:43:01.254675,18,False
84,21,2018-12-04 15:43:01.270297,27,True
85,21,2018-12-04 15:43:01.270297,42,True
86,21,2018-12-04 15:43:01.285965,58,True
87,22,2018-12-04 15:43:27.690016,0,False
88,22,2018-12-04 15:43:27.693054,18,False
89,22,2018-12-04 15:43:27.695059,27,True
90,22,2018-12-04 15:43:27.696670,42,True
91,22,2018-12-04 15:43:27.696670,58,True
92,23,2018-12-04 15:43:54.792313,18,False
93,23,2018-12-04 15:43:54.807939,27,True
94,23,2018-12-04 15:43:54.807939,42,True
95,23,2018-12-04 15:43:54.823608,58,True
96,24,2018-12-04 15:44:21.321913,17,False
